t,s,d,j,i,valor
8,2,6,2,6,1.0
8,2,7,1,6,1.0
8,2,10,1,6,1.0
8,2,14,1,6,1.0
8,2,15,2,6,1.0
8,2,17,1,6,1.0
8,2,19,1,6,1.0
8,2,20,1,6,1.0
8,2,23,2,6,1.0
8,2,28,1,6,1.0
8,2,28,2,6,1.0
8,2,29,1,6,1.0
8,2,30,1,6,1.0
8,3,8,1,6,1.0
8,3,8,2,6,1.0
8,3,21,2,6,1.0
8,3,27,1,6,1.0
8,3,27,2,6,1.0
9,1,6,1,3,1.0
9,1,7,1,39,1.0
9,1,13,1,39,1.0
9,1,13,2,39,1.0
9,1,14,1,3,1.0
9,1,14,2,39,1.0
9,1,15,1,9,1.0
9,1,15,2,39,1.0
9,1,20,1,3,1.0
9,1,26,1,39,1.0
9,1,26,2,39,1.0
9,1,27,1,17,1.0
9,1,27,2,17,1.0
9,1,28,1,17,1.0
9,1,29,1,3,1.0
9,1,29,2,3,1.0
9,1,30,1,3,1.0
9,2,8,1,6,1.0
9,2,16,1,6,1.0
9,2,17,1,6,1.0
9,2,19,1,6,1.0
9,2,28,2,12,1.0
10,1,8,1,17,1.0
10,1,14,1,17,1.0
10,1,14,2,17,1.0
10,1,16,1,17,1.0
10,1,16,2,17,1.0
10,1,17,1,17,1.0
10,1,19,2,17,1.0
10,1,21,2,17,1.0
10,1,26,2,17,1.0
10,2,9,1,5,1.0
10,2,13,2,5,1.0
10,2,15,1,5,1.0
11,1,13,1,9,1.0
11,1,15,2,12,1.0
11,2,8,1,6,1.0
11,2,8,2,6,1.0
11,2,14,1,6,1.0
11,2,15,1,6,1.0
11,2,19,1,6,1.0
11,2,19,2,6,1.0
11,2,20,2,12,1.0
11,2,21,1,6,1.0
11,2,21,2,6,1.0
11,2,23,1,6,1.0
11,2,23,2,6,1.0
11,2,26,2,6,1.0
11,3,9,1,6,1.0
11,3,9,2,6,1.0
11,3,16,1,6,1.0
11,3,16,2,6,1.0
11,3,22,1,6,1.0
11,3,22,2,6,1.0
11,3,27,1,6,1.0
11,3,27,2,6,1.0
11,3,28,1,6,1.0
11,3,28,2,6,1.0
11,3,29,1,6,1.0
11,3,29,2,6,1.0
11,3,30,1,6,1.0
11,3,30,2,6,1.0
12,1,5,1,12,1.0
12,1,6,2,17,1.0
12,1,7,1,9,1.0
12,1,7,2,17,1.0
12,1,13,1,17,1.0
12,1,15,2,9,1.0
12,1,16,1,17,1.0
12,1,19,1,17,1.0
12,1,20,1,17,1.0
12,1,21,1,17,1.0
12,1,23,2,9,1.0
12,1,27,1,17,1.0
12,1,27,2,17,1.0
12,1,28,2,17,1.0
12,1,30,1,17,1.0
12,1,30,2,17,1.0
12,2,6,1,12,1.0
12,2,14,1,5,1.0
12,2,14,2,5,1.0
12,2,16,2,5,1.0
12,2,20,2,5,1.0
12,2,22,2,5,1.0
12,2,23,1,5,1.0
12,2,26,1,5,1.0
12,2,28,1,5,1.0
12,2,31,1,5,1.0
13,1,7,1,1,1.0
13,1,8,1,43,1.0
13,1,8,2,43,1.0
13,1,9,1,1,1.0
13,1,13,2,1,1.0
13,1,14,1,1,1.0
13,1,15,2,1,1.0
13,1,16,1,1,1.0
13,1,19,2,1,1.0
13,1,20,1,43,1.0
13,1,20,2,43,1.0
13,1,21,1,1,1.0
13,1,23,1,1,1.0
13,1,26,2,1,1.0
13,1,27,2,1,1.0
13,1,28,1,14,1.0
13,1,30,1,1,1.0
14,1,22,1,2,1.0
14,1,22,2,15,1.0
14,1,23,1,15,1.0
14,1,23,2,15,1.0
14,1,24,1,2,1.0
14,1,29,1,2,1.0
14,1,29,2,15,1.0
14,1,30,1,46,1.0
14,1,30,2,15,1.0
14,1,31,1,15,1.0
15,1,7,1,17,1.0
15,1,7,2,17,1.0
15,1,8,2,17,1.0
15,1,13,1,17,1.0
15,1,20,1,17,1.0
15,1,20,2,17,1.0
15,1,21,1,17,1.0
15,1,22,1,17,1.0
15,1,23,2,17,1.0
15,1,24,1,17,1.0
15,1,28,1,17,1.0
15,1,29,1,17,1.0
15,1,29,2,17,1.0
15,2,6,1,16,1.0
15,2,6,2,6,1.0
15,2,8,1,6,1.0
15,2,10,1,6,1.0
15,2,13,2,16,1.0
15,2,21,2,6,1.0
15,2,22,2,6,1.0
15,2,23,1,16,1.0
15,2,26,1,6,1.0
15,2,26,2,6,1.0
15,2,27,1,6,1.0
15,2,27,2,6,1.0
15,2,28,2,6,1.0
15,3,9,2,6,1.0
15,3,14,1,6,1.0
15,3,15,1,6,1.0
15,3,15,2,6,1.0
20,1,7,1,25,1.0
20,1,7,2,25,1.0
20,1,9,1,25,1.0
20,1,9,2,25,1.0
20,1,10,1,25,1.0
20,1,13,1,20,1.0
20,1,13,2,25,1.0
20,1,14,2,25,1.0
20,1,21,2,20,1.0
20,1,23,1,25,1.0
20,1,23,2,20,1.0
20,1,24,1,25,1.0
20,1,26,2,25,1.0
20,1,30,2,25,1.0
20,1,31,1,25,1.0
20,2,14,1,20,1.0
20,2,16,1,20,1.0
20,2,16,2,20,1.0
20,2,17,1,20,1.0
20,2,21,1,20,1.0
20,2,27,1,20,1.0
20,2,27,2,20,1.0
20,2,30,1,20,1.0
20,5,15,1,54,1.0
20,5,28,1,54,1.0
21,1,13,1,25,1.0
21,1,14,1,20,1.0
21,1,15,1,25,1.0
21,1,15,2,20,1.0
21,1,19,1,25,1.0
21,1,21,1,25,1.0
21,1,24,1,25,1.0
21,1,27,1,25,1.0
21,1,27,2,25,1.0
21,1,28,1,25,1.0
21,1,30,1,25,1.0
21,1,31,1,20,1.0
21,2,16,1,20,1.0
21,2,16,2,20,1.0
21,2,17,1,20,1.0
21,2,20,1,20,1.0
21,2,26,1,20,1.0
21,2,29,1,20,1.0
21,2,29,2,20,1.0
22,1,14,1,25,1.0
22,1,16,1,20,1.0
22,1,16,2,20,1.0
22,1,19,1,20,1.0
22,1,19,2,25,1.0
22,1,20,1,25,1.0
22,1,22,1,20,1.0
22,1,22,2,20,1.0
22,1,23,2,25,1.0
22,1,26,1,25,1.0
22,1,26,2,20,1.0
22,1,28,2,25,1.0
22,1,29,1,25,1.0
22,1,30,1,25,1.0
22,1,30,2,20,1.0
22,2,13,2,21,1.0
22,2,14,2,21,1.0
22,2,15,1,21,1.0
22,2,15,2,20,1.0
22,2,17,1,20,1.0
22,2,20,2,20,1.0
22,2,21,2,21,1.0
22,2,23,1,21,1.0
22,2,27,1,20,1.0
22,2,27,2,19,1.0
22,2,28,1,21,1.0
22,2,29,2,20,1.0
22,2,31,1,21,1.0
23,1,5,1,25,1.0
23,1,5,2,25,1.0
23,1,6,1,25,1.0
23,1,6,2,25,1.0
23,1,7,1,25,1.0
23,1,7,2,25,1.0
23,1,8,1,25,1.0
23,1,8,2,25,1.0
23,1,13,1,25,1.0
23,1,13,2,25,1.0
23,1,14,1,25,1.0
23,1,15,1,25,1.0
23,1,15,2,25,1.0
23,1,16,1,25,1.0
23,1,16,2,25,1.0
23,1,21,2,25,1.0
23,1,22,2,25,1.0
23,1,23,1,25,1.0
23,1,26,1,25,1.0
23,1,27,1,25,1.0
23,1,28,1,20,1.0
23,1,28,2,25,1.0
23,2,14,2,20,1.0
23,2,19,1,20,1.0
23,2,21,1,20,1.0
23,2,22,1,20,1.0
23,2,23,2,20,1.0
23,2,26,2,19,1.0
23,2,27,2,20,1.0
23,3,20,1,20,1.0
23,3,20,2,20,1.0
24,1,13,2,20,1.0
24,1,14,2,25,1.0
24,1,15,1,20,1.0
24,1,16,1,25,1.0
24,1,17,1,25,1.0
24,1,19,2,20,1.0
24,1,20,2,25,1.0
24,1,22,1,25,1.0
24,1,23,1,20,1.0
24,1,23,2,25,1.0
24,1,26,2,25,1.0
24,1,27,1,20,1.0
24,1,27,2,20,1.0
24,1,28,2,20,1.0
24,1,29,1,25,1.0
24,1,29,2,20,1.0
24,2,13,1,20,1.0
24,2,14,1,20,1.0
24,2,15,2,20,1.0
24,2,16,2,20,1.0
24,2,19,1,20,1.0
24,2,20,1,20,1.0
24,2,21,1,20,1.0
24,2,21,2,20,1.0
24,2,22,2,20,1.0
24,2,24,1,20,1.0
24,2,26,1,20,1.0
24,2,28,1,20,1.0
24,2,30,1,20,1.0
24,2,30,2,20,1.0
24,2,31,1,20,1.0
25,1,16,2,25,1.0
25,1,17,1,25,1.0
25,1,20,2,25,1.0
25,1,24,1,20,1.0
25,1,30,2,25,1.0
25,2,23,2,20,1.0
25,2,27,2,20,1.0
25,2,31,1,20,1.0
26,1,14,2,20,1.0
26,1,15,2,25,1.0
26,1,17,1,20,1.0
26,1,20,1,25,1.0
26,1,21,1,25,1.0
26,1,21,2,25,1.0
26,1,22,2,25,1.0
26,1,26,1,20,1.0
26,1,27,2,25,1.0
26,1,29,1,20,1.0
26,1,29,2,25,1.0
26,1,30,1,20,1.0
26,1,31,1,25,1.0
26,2,14,1,20,1.0
26,2,15,1,20,1.0
26,2,19,1,20,1.0
26,2,19,2,20,1.0
26,2,20,2,20,1.0
26,2,22,1,20,1.0
26,2,23,1,20,1.0
26,2,23,2,20,1.0
26,2,24,1,20,1.0
26,2,26,2,20,1.0
26,2,27,1,20,1.0
26,2,30,2,20,1.0
26,3,13,1,20,1.0
26,3,13,2,20,1.0
26,3,16,1,20,1.0
26,3,16,2,20,1.0
26,3,28,1,20,1.0
26,3,28,2,20,1.0
27,1,8,1,25,1.0
27,1,8,2,25,1.0
27,1,9,1,25,1.0
27,1,9,2,25,1.0
27,1,10,1,25,1.0
27,1,16,1,12,1.0
27,1,16,2,11,1.0
27,1,17,1,11,1.0
27,1,19,1,25,1.0
27,1,19,2,25,1.0
27,1,20,1,20,1.0
27,1,20,2,20,1.0
27,1,21,1,20,1.0
27,1,21,2,12,1.0
27,1,22,1,25,1.0
27,1,22,2,12,1.0
27,1,24,1,11,1.0
27,1,27,1,12,1.0
27,1,27,2,12,1.0
27,1,28,1,25,1.0
27,1,29,2,25,1.0
27,2,13,1,20,1.0
27,2,13,2,20,1.0
27,2,28,2,20,1.0
27,2,29,1,20,1.0
27,2,30,1,20,1.0
27,2,30,2,20,1.0
27,2,31,1,12,1.0
27,3,14,1,20,1.0
27,3,14,2,20,1.0
27,3,15,1,20,1.0
27,3,15,2,20,1.0
27,3,26,1,20,1.0
27,3,26,2,20,1.0
27,5,7,1,54,1.0
27,5,23,1,54,1.0
29,5,20,1,52,1.0
29,5,27,1,52,1.0
30,1,7,2,33,1.0
30,1,9,1,34,1.0
30,1,9,2,34,1.0
30,1,10,1,34,1.0
30,1,13,1,34,1.0
30,1,15,1,34,1.0
30,1,15,2,34,1.0
30,1,17,1,33,1.0
30,1,22,1,33,1.0
30,1,22,2,34,1.0
30,1,27,2,33,1.0
30,1,29,2,33,1.0
30,1,30,2,34,1.0
31,1,7,1,31,1.0
31,1,8,1,34,1.0
31,1,8,2,33,1.0
31,1,13,2,31,1.0
31,1,14,1,30,1.0
31,1,14,2,31,1.0
31,1,16,1,34,1.0
31,1,16,2,28,1.0
31,1,19,1,30,1.0
31,1,19,2,30,1.0
31,1,20,1,30,1.0
31,1,20,2,33,1.0
31,1,21,1,33,1.0
31,1,21,2,28,1.0
31,1,23,1,30,1.0
31,1,23,2,34,1.0
31,1,24,1,28,1.0
31,1,26,1,28,1.0
31,1,26,2,34,1.0
31,1,27,1,30,1.0
31,1,28,1,30,1.0
31,1,28,2,34,1.0
31,1,29,1,34,1.0
31,1,30,1,30,1.0
31,1,31,1,31,1.0
34,1,5,1,26,1.0
34,2,8,1,10,1.0
34,2,13,1,10,1.0
34,2,14,1,10,1.0
34,2,15,1,10,1.0
34,2,15,2,10,1.0
34,2,23,1,10,1.0
34,2,23,2,10,1.0
34,2,26,1,10,1.0
34,2,26,2,10,1.0
34,2,28,1,10,1.0
34,2,28,2,10,1.0
34,3,6,1,10,1.0
34,3,6,2,10,1.0
34,3,7,1,10,1.0
34,3,7,2,10,1.0
34,3,9,2,10,1.0
34,3,20,2,10,1.0
34,3,21,1,10,1.0
34,3,22,1,10,1.0
34,3,27,2,10,1.0
34,3,29,1,10,1.0
37,4,5,1,38,1.0
37,4,5,2,10,1.0
